0,0,0,0,0,0,0,0,0,0,0
0.005,0.0179469,-0.0151544,0.0149367,-0.0125409,0.0102768,-0.00699125,0.00449579,-0.002838,0.00173041,-0.00111497
0.01,0.0308412,-0.025572,0.0243446,-0.0195242,0.0149894,-0.00931267,0.00534178,-0.00290144,0.00146512,-0.000780298
0.015,0.040655,-0.0331085,0.0304442,-0.0232932,0.0166767,-0.00933275,0.00461251,-0.00196842,0.000636228,-0.000125844
0.02,0.0485054,-0.0388157,0.034491,-0.0251599,0.0167266,-0.00829152,0.00333175,-0.000853525,-0.00014954,0.000396023
0.025,0.0550447,-0.043307,0.037212,-0.0258715,0.0159006,-0.00682568,0.00197516,0.00011718,-0.000695324,0.000669671
0.03,0.0606672,-0.0469524,0.0390411,-0.0258636,0.0146211,-0.00525562,0.000744544,0.000846905,-0.000984173,0.000720222
0.035,0.0656208,-0.0499837,0.0402466,-0.0253979,0.0131254,-0.00373798,-0.000289579,0.00133661,-0.0010644,0.000615839
0.04,0.0700678,-0.0525521,0.0410004,-0.0246367,0.0115493,-0.0023451,-0.00111648,0.00162245,-0.000997909,0.000425248
0.045,0.0741186,-0.0547599,0.0414172,-0.0236837,0.00997082,-0.00110613,-0.00175063,0.00174815,-0.000839962,0.000202858
0.05,0.0778512,-0.056679,0.0415759,-0.0226074,0.00843539,-2.81161e-05,-0.00221544,0.00175413,-0.000633388,-1.37396e-05
0.055,0.0813224,-0.0583616,0.0415323,-0.0214539,0.0069687,0.000892948,-0.00253602,0.00167418,-0.000408744,-0.000201534
0.06,0.0845747,-0.0598464,0.0413272,-0.0202552,0.00558475,0.00166644,-0.00273616,0.00153518,-0.00018646,-0.000348599
0.065,0.0876409,-0.0611629,0.0409909,-0.0190335,0.00429034,0.00230406,-0.00283718,0.00135802,2.06841e-05,-0.000450766
0.07,0.0905466,-0.0623342,0.0405465,-0.017805,0.00308782,0.00281824,-0.00285777,0.00115868,0.000205398,-0.000508924
0.075,0.0933121,-0.0633787,0.0400117,-0.016581,0.00197678,0.00322125,-0.00281407,0.000949297,0.000364185,-0.000527003
0.08,0.0959541,-0.064311,0.0394008,-0.0153699,0.00095517,0.00352482,-0.00271994,0.000738998,0.000496082,-0.000510555
0.085,0.0984864,-0.0651432,0.038725,-0.0141781,1.99605e-05,0.00373989,-0.00258723,0.000534591,0.000601762,-0.00046578
0.09,0.10092,-0.0658854,0.0379933,-0.0130101,-0.000832421,0.00387653,-0.00242606,0.000341076,0.00068291,-0.000398903
0.095,0.103266,-0.0665461,0.0372134,-0.0118695,-0.0016058,0.00394396,-0.00224503,0.000162039,0.000741791,-0.000315792
0.1,0.10553,-0.0671325,0.0363915,-0.0107587,-0.00230407,0.00395056,-0.00205146,-4.47474e-08,0.000780969,-0.000221734
0.105,0.107722,-0.0676506,0.0355328,-0.00967993,-0.00293111,0.00390395,-0.00185155,-0.000143582,0.000803112,-0.000121332
0.11,0.109846,-0.0681059,0.0346419,-0.00863461,-0.00349066,0.00381101,-0.00165051,-0.00026768,0.000810875,-1.84743e-05
0.115,0.111909,-0.068503,0.0337226,-0.00762395,-0.00398636,0.00367799,-0.00145275,-0.000372011,0.000806819,8.3655e-05
0.12,0.113915,-0.0688458,0.0327781,-0.00664885,-0.00442166,0.00351054,-0.00126193,-0.000456697,0.000793367,0.000182531
0.125,0.115868,-0.0691381,0.0318114,-0.00570999,-0.00479987,0.00331381,-0.00108111,-0.000522224,0.000772776,0.000276233
0.13,0.117772,-0.069383,0.0308251,-0.00480793,-0.00512412,0.00309244,-0.000912776,-0.000569365,0.000747124,0.000363374
0.135,0.11963,-0.0695832,0.0298213,-0.00394305,-0.00539739,0.0028507,-0.000758956,-0.000599127,0.000718303,0.000443042
0.14,0.121445,-0.0697413,0.028802,-0.00311565,-0.00562252,0.00259243,-0.000621257,-0.000612696,0.000688022,0.000514728
0.145,0.12322,-0.0698596,0.0277691,-0.00232597,-0.0058022,0.00232119,-0.000500923,-0.000611399,0.000657807,0.000578265
0.15,0.124958,-0.0699401,0.026724,-0.00157414,-0.005939,0.0020402,-0.000398878,-0.000596665,0.000629008,0.000633775
0.155,0.12666,-0.0699845,0.0256683,-0.000860275,-0.00603539,0.00175242,-0.000315763,-0.000570003,0.000602804,0.000681611
0.16,0.128328,-0.0699946,0.0246033,-0.000184436,-0.00609371,0.00146059,-0.000251973,-0.000532969,0.000580208,0.000722314
0.165,0.129965,-0.0699717,0.0235301,0.000453353,-0.00611622,0.0011672,-0.00020768,-0.000487148,0.000562076,0.00075657
0.17,0.131571,-0.0699174,0.02245,0.00105309,-0.00610511,0.000874569,-0.000182861,-0.000434135,0.000549111,0.00078517
