0,0,0,0,0,0,0,0,0,0,0
0.005,0.26691,-0.274544,0.0551894,-0.0166288,0.00911355,-0.00245133,0.00268268,0.000377077,0.0020207,0.00147739
0.01,0.213135,-0.207085,0.0390718,-0.00895132,0.00521375,0.00016565,0.00153116,0.00129092,0.00220439,0.00204993
0.015,0.180377,-0.152815,0.0351041,0.00528806,0.00848584,0.006711,0.0061799,0.00667906,0.0106819,0.00963235
0.02,0.158504,-0.115032,0.0328508,0.0158776,0.0113671,0.0112738,0.0103937,0.0103862,0.0176474,0.0155013
0.025,0.142844,-0.0902042,0.0297842,0.0216765,0.0124675,0.0131748,0.0129717,0.0116839,0.0214312,0.0183874
0.03,0.131058,-0.0741231,0.0257987,0.0238987,0.0121331,0.0130958,0.0141647,0.0112404,0.0226435,0.0190117
0.035,0.121878,-0.0635073,0.0213355,0.023954,0.0109892,0.0118378,0.0144787,0.00983978,0.0222439,0.0183247
0.04,0.114554,-0.0561328,0.0168178,0.0229065,0.00954058,0.0100078,0.0143352,0.00806528,0.0210106,0.0170519
0.045,0.108611,-0.0505907,0.0125301,0.0214419,0.00811461,0.00799882,0.0140172,0.00628172,0.0194661,0.015653
0.05,0.103726,-0.0460254,0.00862774,0.0199597,0.00689509,0.00604082,0.0136922,0.00469025,0.0179247,0.0143847
0.055,0.0996718,-0.0419358,0.00517478,0.018668,0.00596827,0.00425446,0.0134477,0.0033844,0.0165568,0.013369
0.06,0.0962792,-0.0380417,0.00217722,0.0176561,0.00535957,0.00269201,0.0133204,0.00239198,0.0154406,0.0126462
0.065,0.0934206,-0.0341975,-0.000392201,0.016943,0.00505896,0.00136498,0.0133169,0.00170314,0.0145978,0.0122095
0.07,0.0909971,-0.0303379,-0.00257792,0.0165086,0.00503741,0.000261939,0.0134267,0.001288,0.0140178,0.0120278
0.075,0.0889311,-0.0264446,-0.00443139,0.0163127,0.00525705,-0.000640426,0.0136309,0.00110753,0.0136727,0.0120585
0.08,0.0871608,-0.0225254,-0.00600502,0.0163069,0.00567728,-0.00137053,0.0139072,0.00111993,0.0135264,0.0122564
0.085,0.0856364,-0.0186011,-0.00734872,0.0164414,0.00625835,-0.0019579,0.0142331,0.00128434,0.0135407,0.0125772
0.09,0.0843176,-0.0146983,-0.00850811,0.0166686,0.00696326,-0.00243083,0.0145873,0.00156281,0.0136784,0.0129806
